Date,Open,High,Low,Close,Volume_base,Volume_quote,compound,positive,negative,neutral,comp_score
2022-05-25 00:30:00,2779.99,2785.6,2779.0,2782.2,4.6605,12972.68713,-0.3182,0.05,0.089,0.861,0
2022-05-25 00:45:00,2785.89,2786.64,2782.55,2785.43,6.3329,17632.454042,-0.3182,0.05,0.089,0.861,0
2022-05-25 01:00:00,2785.99,2785.99,2779.92,2781.72,4.1409,11520.110164,-0.3182,0.05,0.089,0.861,0
2022-05-25 01:15:00,2779.75,2786.0,2775.98,2786.0,6.6624,18540.423726,-0.3182,0.05,0.089,0.861,0
2022-05-25 01:30:00,2786.66,2786.66,2778.23,2780.65,8.7484,24325.147499,-0.3182,0.05,0.089,0.861,0
2022-05-25 01:45:00,2778.77,2786.65,2778.77,2785.94,2.8014,7799.652073,-0.3182,0.05,0.089,0.861,0
2022-05-25 02:00:00,2783.34,2800.0,2783.34,2799.17,19.5609,54607.777652,-0.3182,0.05,0.089,0.861,0
2022-05-25 02:15:00,2799.94,2804.99,2785.49,2791.46,86.7922,242749.452275,-0.3182,0.05,0.089,0.861,0
2022-05-25 02:30:00,2791.09,2817.6,2790.25,2811.17,18.2019,51036.252861,-0.3182,0.05,0.089,0.861,0
2022-05-25 02:45:00,2815.75,2839.7,2814.06,2835.41,28.5922,80851.543571,-0.3182,0.05,0.089,0.861,0
2022-05-25 03:00:00,2835.75,2842.81,2831.25,2836.42,47.5739,134969.856784,-0.3182,0.05,0.089,0.861,0
2022-05-25 03:15:00,2837.9,2841.89,2837.9,2838.93,10.2132,28997.858794,-0.3182,0.05,0.089,0.861,0
2022-05-25 03:30:00,2836.21,2836.21,2829.51,2830.79,14.8574,42103.016542,-0.3182,0.05,0.089,0.861,0
2022-05-25 03:45:00,2829.0,2837.17,2823.0,2835.9,54.6472,154474.82135,-0.3182,0.05,0.089,0.861,0
2022-05-25 04:00:00,2833.13,2833.13,2825.56,2827.86,6.398,18095.855381,-0.3182,0.05,0.089,0.861,0
2022-05-25 04:15:00,2828.45,2828.45,2817.0,2821.96,15.5773,43913.089272,-0.3182,0.05,0.089,0.861,0
2022-05-25 04:30:00,2821.96,2825.08,2818.09,2818.09,6.1565,17368.774904,-0.3182,0.05,0.089,0.861,0
2022-05-25 04:45:00,2819.58,2821.11,2815.61,2818.24,10.4237,29388.516971,-0.3182,0.05,0.089,0.861,0
2022-05-25 05:00:00,2818.31,2818.31,2812.72,2816.28,8.856,24929.591214,-0.3182,0.05,0.089,0.861,0
2022-05-25 05:15:00,2816.17,2820.08,2812.75,2820.08,19.1955,54044.042313,-0.3182,0.05,0.089,0.861,0
2022-05-25 05:30:00,2819.51,2823.68,2816.93,2818.1,11.6207,32773.981657,-0.3182,0.05,0.089,0.861,0
2022-05-25 05:45:00,2816.17,2816.19,2798.1,2803.05,11.0117,30850.88272,-0.3182,0.05,0.089,0.861,0
2022-05-25 06:00:00,2802.75,2805.06,2791.0,2793.02,6.9197,19374.955375,-0.3182,0.05,0.089,0.861,0
2022-05-25 06:15:00,2793.46,2795.84,2741.57,2783.62,152.1034,423250.584183,-0.3182,0.05,0.089,0.861,0
2022-05-25 06:30:00,2783.82,2784.47,2776.02,2781.48,23.3818,65007.751486,-0.3182,0.05,0.089,0.861,0
2022-05-25 06:45:00,2778.98,2791.81,2778.74,2789.0,39.1032,109047.48485,-0.3182,0.05,0.089,0.861,0
2022-05-25 07:00:00,2788.25,2791.19,2782.78,2784.7,18.0208,50217.46249,-0.3182,0.05,0.089,0.861,0
2022-05-25 07:15:00,2785.77,2791.89,2778.88,2790.52,13.1398,36617.666515,-0.3182,0.05,0.089,0.861,0
2022-05-25 07:30:00,2789.48,2789.75,2782.25,2785.6,2.8356,7899.412202,-0.3182,0.05,0.089,0.861,0
2022-05-25 07:45:00,2781.99,2782.96,2777.21,2780.94,2.9195,8117.040697,-0.3182,0.05,0.089,0.861,0
2022-05-25 08:00:00,2782.01,2787.93,2779.65,2783.68,17.2153,47946.67831,-0.3182,0.05,0.089,0.861,0
2022-05-25 08:15:00,2784.52,2785.48,2760.32,2785.48,40.9464,113587.213714,-0.3182,0.05,0.089,0.861,0
2022-05-25 08:30:00,2783.82,2785.38,2779.64,2782.95,15.1485,42165.462032,-0.3182,0.05,0.089,0.861,0
2022-05-25 08:45:00,2783.64,2783.64,2771.0,2779.24,19.4275,53949.216846,-0.3182,0.05,0.089,0.861,0
2022-05-25 09:00:00,2778.0,2791.62,2776.45,2786.67,65.3006,181679.823866,-0.3182,0.05,0.089,0.861,0
2022-05-25 09:15:00,2786.92,2792.77,2778.14,2778.14,13.9932,39007.199761,-0.3182,0.05,0.089,0.861,0
2022-05-25 09:30:00,2777.49,2782.73,2773.75,2776.35,33.0938,91911.748375,-0.3182,0.05,0.089,0.861,0
2022-05-25 09:45:00,2776.11,2786.83,2775.42,2783.66,24.6231,68516.613069,-0.3182,0.05,0.089,0.861,0
2022-05-25 10:00:00,2786.85,2792.49,2785.61,2787.97,31.604,88130.300721,-0.7096,0.069,0.219,0.712,0
2022-05-25 10:15:00,2788.24,2793.05,2782.24,2783.29,18.7818,52379.13654,-0.7096,0.069,0.219,0.712,0
2022-05-25 10:30:00,2783.99,2784.18,2778.31,2784.18,13.8349,38475.637559,-0.7096,0.069,0.219,0.712,0
2022-05-25 10:45:00,2784.27,2784.59,2776.56,2782.65,15.0718,41899.73372,-0.7096,0.069,0.219,0.712,0
2022-05-25 11:00:00,2782.04,2782.27,2776.15,2777.53,9.8727,27438.273058,-0.7096,0.069,0.219,0.712,0
2022-05-25 11:15:00,2777.39,2782.04,2761.92,2762.27,45.2195,125359.739362,-0.7096,0.069,0.219,0.712,0
2022-05-25 11:30:00,2764.75,2772.99,2756.22,2760.96,19.0296,52584.820871,-0.7096,0.069,0.219,0.712,0
2022-05-25 11:45:00,2760.45,2763.29,2752.42,2762.18,33.8779,93431.908124,-0.7096,0.069,0.219,0.712,0
